Taxa	Flow_col
PI200486	2
PI200487	2
PI200488	2
PI200490	2
PI200491	1
PI200492	1
PI200493	2
PI200494	2
PI200495	1
PI200496	2
PI200497	2
PI200498	2
PI200499	1
PI200500	2
PI200501	1
PI200502	2
PI200503	2
PI200504	2
PI200505	2
PI200506	2
PI200507	1
PI200508	2
PI200509	2
PI200510	2
PI200515	2
PI200516	2
PI200517	2
PI200518	2
PI200519	2
PI200520	2
PI200521	2
PI200522	2
PI200523	2
PI200524	2
PI200525	2
PI200526	2
PI200527	2
PI200528	1
PI200529	2
PI200530	2
PI200531	2
PI200532	2
PI200533	2
PI200534	2
PI200535	1
PI200536	2
PI200538	2
PI200539	2
PI200541	2
PI200542	2
PI200543	1
PI200544	2
PI200545	2
PI200546	2
PI200547	2
PI200548	1
PI200549	2
PI200550	2
PI200551	2
PI200552	1
PI200553	1
PI200592	2
PI200593	2
PI200594	2
PI200595	2
PI200596	2
PI200832	1
PI201421	1
PI201422	1
PI201423	1
PI201428	1
PI201431	1
PI203246	2
PI203398	2
PI203399	2
PI203400	2
PI203402	2
PI203403	2
PI203404	2
PI203405	2
PI203406	2
PI204331	1
PI204332	1
PI204333	1
PI204334	1
PI204335	2
PI204336	2
PI204337	2
PI204338	2
PI204339	2
PI204340	2
PI204652	2
PI204653	2
PI205083	1
PI205085	1
PI205086	2
PI205087	2
PI205088	1
PI205089	1
PI205090	2
PI205092	1
PI205384	2
PI205899	1
PI205901A	NA
PI205901B	NA
PI205902	2
PI205903	2
PI205906	2
PI205907	1
PI205908	1
PI205909	2
PI205910	2
PI205911	2
PI205912	2
PI205913	2
PI205914	2
PI205915	1
PI206258	2
PI208203	2
PI208204	1
PI208429	2
PI208430	2
PI208431	1
PI208432	1
PI208433	1
PI208434	2
PI208435	2
PI208437	2
PI208438	1
PI208439	2
PI208782	2
PI208783	2
PI208784	2
PI208785	2
PI208788	2
PI208789	2
PI209331	1
PI209332	2
PI209333	1
PI209334	2
PI209335	2
PI209340	2
PI209577	2
PI209578	2
PI209832	2
PI209833	2
PI209834	2
PI209836	1
PI209837	2
PI209839A	NA
PI209839B	NA
PI209908	1
PI210178	2
PI210179	2
PI210348	1
PI210349	2
PI210350	2
PI210351A	NA
PI210351B	NA
PI210352	1
PI210353	1
PI212604	2
PI212605	2
PI212606	2
PI212716	2
PI215688	2
PI215690	1
PI215691	1
PI215692	1
PI215693	2
PI215755	2
PI215811	2
PI219652	2
PI219653	2
PI219654	2
PI219655	2
PI219656	1
PI219698	2
PI219732	2
PI219780	1
PI219782	2
PI219783	1
PI219784	2
PI219785	1
PI219787	2
PI219789	1
PI221713	1
PI221714	2
PI221715	2
PI221716	2
PI221717	1
PI221972	2
PI221973	2
PI222397	2
PI222546	1
PI222547	2
PI222548	2
PI222549	2
PI222550	2
PI224268	2
PI224269	2
PI224270	1
PI224271	NA
PI224272	2
PI224273	2
PI224275	1
PI226588	1
PI226589	1
PI226590	2
PI226591	NA
PI227158	2
PI227159	2
PI227160	1
PI227212	2
PI227213	2
PI227214	2
PI227218	1
PI227219	1
PI227221	1
PI227222	2
PI227224	2
PI227320	2
PI227321	2
PI227322	1
PI227323	2
PI227324	1
PI227325	1
PI227326	1
PI227327	2
PI227328	1
PI227329	1
PI227330	2
PI227331	2
PI227333	1
PI227334	1
PI227555	1
PI227557	2
PI227558	2
PI227560	2
PI227563	2
PI227565	2
PI227566	2
PI227567	2
PI227684	1
PI227685	1
PI227686	1
PI227687	2
PI228056	2
PI228064	2
PI228065	1
PI229312	2
